DEPARTAMENTO,ANIO,EDAD_HOMBRE,EDAD_MUJER,PCT_HOM_SIN_ESC,PCT_MUJ_SIN_ESC,TOTAL_DIVORCIOS,EDAD_VICTIMA,EDAD_AGRESOR,PCT_VIC_SIN_ESC,PCT_AGR_SIN_ESC,PCT_VIC_SIN_OCUP,PCT_AGR_SIN_OCUP,PCT_NO_DENUNCIA,PCT_SIN_MEDIDA,TOTAL_VIF
16,2013,,,0.0,0.0,0,30.162790697674417,38.83720930232558,0.0,0.0,0.0,0.0,0.7906976744186046,0.0,43
16,2014,37.18181818181818,32.907407407407405,0.4897959183673469,0.45918367346938777,98,31.975563313233895,41.36052046969216,0.0,0.0,0.0,0.0,0.9603300539511266,0.0,3151
16,2015,35.95238095238095,30.40909090909091,0.38095238095238093,0.38095238095238093,42,,,0.0,0.0,0.0,0.0,0.0,0.0,0
17,2011,,,0.0,0.0,0,23.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,1
17,2013,,,0.0,0.0,0,37.0,35.61538461538461,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,13
17,2014,35.130434782608695,32.25,0.5142857142857142,0.5142857142857142,105,30.893684210526317,34.85052631578947,0.0,0.0,0.0,0.0,0.9126315789473685,0.0,950
17,2015,39.0,33.6,0.65,0.75,20,,,0.0,0.0,0.0,0.0,0.0,0.0,0
18,2011,,,0.0,0.0,0,45.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,1
18,2013,,,0.0,0.0,0,26.428571428571427,30.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,7
18,2014,38.54347826086956,34.52173913043478,0.7286821705426356,0.6356589147286822,129,32.04841149773071,33.72768532526475,0.0,0.0,0.0,0.0,0.8910741301059002,0.0,661
18,2015,34.84615384615385,32.30769230769231,0.6176470588235294,0.5588235294117647,34,,,0.0,0.0,0.0,0.0,0.0,0.0,0
19,2013,,,0.0,0.0,0,40.8,74.8,0.0,0.0,0.0,0.0,1.0,0.0,5
19,2014,34.17777777777778,28.8125,0.5948275862068966,0.5862068965517241,116,34.21500721500721,48.41991341991342,0.0,0.0,0.0,0.0,0.9985569985569985,0.0,693
19,2015,35.86666666666667,29.928571428571427,0.6774193548387096,0.7096774193548387,31,,,0.0,0.0,0.0,0.0,0.0,0.0,0
20,2010,,,0.0,0.0,0,44.0,59.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,3
20,2012,,,0.0,0.0,0,37.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,2
20,2013,,,0.0,0.0,0,27.0,34.4,0.0,0.0,0.0,0.0,0.9,0.0,10
20,2014,35.018181818181816,30.440677966101696,0.5431034482758621,0.5,116,34.003981420039814,39.7471798274718,0.0,0.0,0.0,0.0,0.9953550099535501,0.0,1507
20,2015,31.583333333333332,28.52173913043478,0.5,0.5217391304347826,46,,,0.0,0.0,0.0,0.0,0.0,0.0,0
21,2010,,,0.0,0.0,0,43.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,1
21,2011,,,0.0,0.0,0,51.5,27.5,0.0,0.0,0.0,0.0,1.0,0.0,2
21,2013,,,0.0,0.0,0,31.8,29.7,0.0,0.0,0.0,0.0,0.9,0.0,20
21,2014,34.54838709677419,29.875,0.7419354838709677,0.7096774193548387,93,32.22105263157895,33.24947368421053,0.0,0.0,0.0,0.0,0.96,0.0,950
21,2015,35.125,29.142857142857142,0.6666666666666666,0.6666666666666666,21,,,0.0,0.0,0.0,0.0,0.0,0.0,0
22,2011,,,0.0,0.0,0,49.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0,1
22,2013,,,0.0,0.0,0,29.866666666666667,43.733333333333334,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,15
22,2014,35.748387096774195,32.05555555555556,0.47766323024054985,0.4536082474226804,291,35.82608695652174,44.077639751552795,0.0,0.0,0.0,0.0,0.9658385093167702,0.0,1288
22,2015,35.75,29.565217391304348,0.4716981132075472,0.4716981132075472,53,,,0.0,0.0,0.0,0.0,0.0,0.0,0
30,2011,,,0.0,0.0,0,23.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,1
30,2013,,,0.0,0.0,0,29.75,31.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,12
30,2014,,,0.0,0.0,0,34.3611442193087,39.66984505363528,0.0,0.0,0.0,0.0,0.966626936829559,0.0,839
31,2010,,,0.0,0.0,0,34.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1
31,2013,,,0.0,0.0,0,40.75,51.125,0.0,0.0,0.0,0.0,1.0,0.0,8
31,2014,,,0.0,0.0,0,32.96081277213353,38.107402031930334,0.0,0.0,0.0,0.0,0.9956458635703919,0.0,689
40,2012,,,0.0,0.0,0,35.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,1
40,2013,,,0.0,0.0,0,32.357142857142854,40.5,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,14
40,2014,,,0.0,0.0,0,33.13266041816871,35.56380677721702,0.0,0.0,0.0,0.0,0.9870223503965393,0.0,1387
41,2012,,,0.0,0.0,0,22.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,1
41,2013,,,0.0,0.0,0,29.444444444444443,45.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,9
41,2014,,,0.0,0.0,0,31.90408163265306,36.093877551020405,0.0,0.0,0.0,0.0,0.9816326530612245,0.0,490
50,2011,,,0.0,0.0,0,29.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1
50,2013,,,0.0,0.0,0,32.714285714285715,38.285714285714285,0.0,0.0,0.0,0.0,1.0,0.0,7
50,2014,,,0.0,0.0,0,28.733634311512414,34.081264108352144,0.0,0.0,0.0,0.0,0.945823927765237,0.0,443
51,2012,,,0.0,0.0,0,42.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,1
51,2013,,,0.0,0.0,0,28.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,1
51,2014,,,0.0,0.0,0,30.5,38.08653846153846,0.0,0.0,0.0,0.0,1.0,0.0,104
60,2010,,,0.0,0.0,0,45.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,1
60,2013,,,0.0,0.0,0,37.857142857142854,38.857142857142854,0.0,0.0,0.0,0.0,1.0,0.0,14
60,2014,,,0.0,0.0,0,31.649204864359213,34.57530402245089,0.0,0.0,0.0,0.0,1.0,0.0,1069
61,2012,,,0.0,0.0,0,23.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,1
61,2013,,,0.0,0.0,0,33.888888888888886,39.77777777777778,0.0,0.0,0.0,0.0,1.0,0.0,9
61,2014,,,0.0,0.0,0,30.56279069767442,34.30232558139535,0.0,0.0,0.0,0.0,1.0,0.0,215
70,2013,,,0.0,0.0,0,38.357142857142854,36.214285714285715,0.0,0.0,0.0,0.0,1.0,0.0,14
70,2014,,,0.0,0.0,0,33.24247491638796,35.60033444816054,0.0,0.0,0.0,0.0,1.0,0.0,598
71,2012,,,0.0,0.0,0,40.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1
71,2013,,,0.0,0.0,0,31.0,30.714285714285715,0.0,0.0,0.0,0.0,1.0,0.0,7
71,2014,,,0.0,0.0,0,34.10569105691057,34.94037940379404,0.0,0.0,0.0,0.0,0.994579945799458,0.0,369
80,2013,,,0.0,0.0,0,33.5,32.166666666666664,0.0,0.0,0.0,0.0,1.0,0.0,12
80,2014,,,0.0,0.0,0,31.81774193548387,34.31774193548387,0.0,0.0,0.0,0.0,0.9967741935483871,0.0,620
90,2012,,,0.0,0.0,0,24.5,34.0,0.0,0.0,0.0,0.0,1.0,0.0,2
90,2013,,,0.0,0.0,0,31.8,36.333333333333336,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,15
90,2014,,,0.0,0.0,0,32.35633626097867,33.90589711417817,0.0,0.0,0.0,0.0,0.8506900878293601,0.0,797
91,2010,,,0.0,0.0,0,52.5,34.0,0.0,0.0,0.0,0.0,1.0,0.0,2
91,2013,,,0.0,0.0,0,30.857142857142858,35.714285714285715,0.0,0.0,0.0,0.0,1.0,0.0,7
91,2014,,,0.0,0.0,0,31.59765625,34.29296875,0.0,0.0,0.0,0.0,0.978515625,0.0,512
92,2013,,,0.0,0.0,0,19.4,32.2,0.0,0.0,0.0,0.0,1.0,0.0,5
92,2014,,,0.0,0.0,0,32.08771929824562,34.92982456140351,0.0,0.0,0.0,0.0,0.9122807017543859,0.0,342
99,2013,,,0.0,0.0,0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1
99,2014,,,0.0,0.0,0,38.46031746031746,49.17460317460318,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,63
