depreg,mupreg,mesreg,añoreg,diaocu,mesocu,añoocu,depocu,mupocu,edadhom,edadmuj,grethom,gretmuj,nachom,nacmuj,escohom,escomuj,ocupahom,ocupamuj
1,0101,8,2010,4,5,2010,1,0101,41,35,9,9,320,320,9,9,1120,1120
1,0101,11,2010,6,10,2010,1,0101,999,999,9,9,320,320,9,9,2161,1219
1,0101,3,2010,16,2,2010,1,0101,42,31,9,9,320,320,4,9,2166,1219
1,0101,10,2010,25,8,2010,1,0101,47,36,9,9,320,320,1,1,5221,1219
1,0101,8,2010,20,5,2010,1,0101,999,999,9,9,840,484,9,9,9712,1219
16,1601,3,2010,28,1,2010,16,1601,23,37,2,2,320,320,9,3,9712,1221
1,0101,10,2010,23,6,2010,1,0101,999,999,9,9,320,320,9,9,5249,1346
1,0101,11,2010,24,8,2010,1,0101,999,999,9,9,320,320,9,9,1219,1411
1,0101,9,2010,15,7,2010,1,0101,999,999,2,2,320,320,5,5,2113,2131
1,0101,11,2010,8,9,2010,1,0101,33,33,9,9,320,320,9,9,2611,2141
16,1601,4,2011,26,10,2010,16,1601,999,999,9,9,320,320,9,9,9712,2141
1,0101,10,2010,9,9,2010,1,0101,999,999,9,9,320,320,9,9,2142,2142
1,0108,3,2010,8,2,2010,1,0101,32,30,9,9,320,320,5,5,2141,2145
1,0101,10,2010,25,3,2010,1,0101,999,999,9,9,320,320,9,9,9712,2145
1,0101,7,2010,4,5,2010,1,0101,33,999,9,9,320,320,9,9,9999,2149
1,0101,9,2010,26,5,2010,1,0101,999,999,9,9,320,840,9,9,2161,2161
1,0101,10,2010,3,9,2010,1,0101,999,999,9,9,320,320,9,9,9712,2161
1,0101,1,2011,12,10,2010,1,0101,32,32,2,9,320,320,5,4,2421,2166
9,0901,2,2011,10,6,2010,9,0901,32,28,9,9,320,320,4,9,4311,2166
1,0101,10,2010,28,5,2010,1,0101,999,999,9,9,320,320,9,9,5221,2166
1,0101,5,2011,29,3,2010,1,0101,999,999,9,9,320,320,9,9,9712,2166
1,0101,4,2010,22,2,2010,1,0101,27,27,9,9,320,320,1,1,2211,2211
1,0101,1,2011,14,9,2010,20,2001,999,999,9,9,320,320,9,9,2211,2211
1,0101,1,2011,25,5,2010,1,0101,32,33,9,9,320,320,5,5,2211,2211
1,0101,3,2011,28,12,2010,1,0115,37,34,2,2,320,320,5,5,9999,2211
1,0101,10,2010,9,9,2010,1,0101,34,33,9,9,320,320,1,4,2166,2212
16,1612,9,2010,2,6,2010,16,1601,999,999,9,9,320,320,9,1,7231,2212
1,0101,6,2010,6,5,2010,1,0101,999,999,9,9,320,320,1,9,2211,2221
