depreg,mupreg,mesreg,añoreg,diaocu,mesocu,añoocu,depocu,mupocu,edadhom,edadmuj,grethom,gretmuj,nachom,nacmuj,escohom,escomuj,ocupahom,ocupamuj
22,2201,4,2011,7,2,2011,22,2201,38,39,2,9,320,320,1,1,9712,9999
18,1801,8,2011,4,7,2011,18,1801,34,32,9,9,320,320,1,1,9712,9999
1,0116,2,2012,5,12,2011,1,0116,999,999,9,9,320,320,9,9,9999,9999
1,0101,2,2011,17,1,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0101,4,2011,13,1,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0101,6,2011,28,3,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0101,6,2012,5,10,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0101,7,2011,7,6,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0101,7,2011,11,2,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0101,10,2011,3,10,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0101,11,2011,7,10,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0101,11,2011,14,9,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0101,12,2011,9,6,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
5,0506,5,2011,6,3,2011,10,1001,999,999,9,9,320,320,9,9,9999,9999
5,0506,5,2011,9,3,2011,10,1001,999,999,9,9,320,320,9,9,9999,9999
5,0509,6,2012,14,11,2011,5,0501,999,999,9,9,320,320,9,9,9999,9999
10,1003,4,2011,23,3,2011,10,1001,999,999,9,9,320,320,9,9,9999,9999
11,1101,2,2011,14,1,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,2,2012,2,11,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,4,2011,31,3,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,5,2011,8,4,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,5,2011,14,4,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,6,2011,20,5,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,6,2011,31,3,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,7,2011,16,3,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,8,2011,4,8,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,9,2011,20,7,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,9,2011,31,5,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,10,2011,8,6,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
11,1101,12,2011,2,9,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
14,1401,6,2011,19,4,2011,14,1401,999,999,9,9,320,320,9,9,9999,9999
15,1503,2,2012,18,4,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
15,1503,12,2011,31,10,2011,15,1501,999,999,9,9,320,320,9,9,9999,9999
2,0202,9,2011,16,2,2011,2,0201,999,999,9,9,320,320,9,9,9999,9999
5,0501,1,2012,26,9,2011,5,0501,999,999,9,9,320,320,9,9,9999,9999
5,0501,8,2011,6,6,2011,5,0501,999,999,9,9,320,320,9,9,9999,9999
5,0501,10,2011,21,7,2011,11,1101,999,999,9,9,320,320,9,9,9999,9999
6,0608,2,2012,20,12,2011,6,0601,999,999,9,9,320,320,9,9,9999,9999
6,0608,3,2011,3,2,2011,6,0601,999,999,9,9,320,320,9,9,9999,9999
6,0608,9,2011,29,7,2011,22,2201,999,999,9,9,320,320,9,9,9999,9999
18,1804,9,2011,6,5,2011,18,1801,999,999,9,9,320,320,9,9,9999,9999
18,1804,9,2011,23,6,2011,18,1801,999,999,9,9,320,320,9,9,9999,9999
18,1804,10,2011,6,10,2011,18,1801,999,999,9,9,320,320,9,9,9999,9999
22,2201,4,2011,14,3,2011,22,2201,999,999,9,9,320,320,9,9,9999,9999
22,2201,9,2011,24,8,2011,22,2201,999,999,9,9,320,320,9,9,9999,9999
6,0603,1,2012,13,10,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
6,0614,9,2011,1,7,2011,6,0601,999,999,9,9,320,320,9,9,9999,9999
18,1803,5,2011,11,2,2011,18,1801,999,999,9,9,320,320,9,9,9999,9999
10,1005,4,2011,26,1,2011,10,1001,999,999,9,9,320,320,9,9,9999,9999
5,0505,1,2012,15,11,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
5,0505,8,2011,21,6,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
5,0505,9,2011,1,3,2011,5,0501,999,999,9,9,320,320,9,9,9999,9999
20,2009,10,2011,29,9,2011,20,2001,999,999,9,9,320,320,9,9,9999,9999
19,1905,2,2012,21,11,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
16,1602,10,2011,23,5,2011,16,1601,999,999,9,9,320,320,9,9,9999,9999
19,1902,2,2012,3,11,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
19,1902,4,2011,24,2,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
19,1902,6,2011,17,5,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
19,1902,6,2011,18,4,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
19,1902,10,2011,11,8,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
15,1501,4,2011,28,2,2011,15,1501,999,999,9,9,320,320,9,9,9999,9999
15,1501,9,2011,4,7,2011,15,1501,999,999,9,9,320,320,9,9,9999,9999
16,1609,5,2011,14,3,2011,16,1601,999,999,9,9,320,320,9,9,9999,9999
10,1010,5,2011,16,2,2011,10,1001,999,999,9,9,320,320,9,9,9999,9999
1,0102,9,2011,23,5,2011,5,0501,999,999,9,9,320,320,9,9,9999,9999
10,1001,1,2012,8,12,2011,10,1001,999,999,9,9,320,320,9,9,9999,9999
10,1001,5,2012,14,3,2011,10,1001,999,999,9,9,320,320,9,9,9999,9999
16,1601,2,2012,18,10,2011,16,1601,999,999,9,9,320,320,9,9,9999,9999
16,1601,4,2012,1,3,2011,16,1601,999,999,9,9,320,320,9,9,9999,9999
1,0116,4,2011,24,3,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0116,5,2011,23,3,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0116,8,2011,5,7,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
1,0116,11,2011,11,10,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
4,0415,11,2011,6,9,2011,4,0401,999,999,9,9,320,320,9,9,9999,9999
5,0507,6,2012,2,11,2011,5,0501,999,999,9,9,320,320,9,9,9999,9999
5,0507,9,2011,1,2,2011,10,1001,999,999,9,9,320,320,9,9,9999,9999
5,0507,9,2011,18,7,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
5,0507,11,2011,2,8,2011,5,0501,999,999,9,9,320,320,9,9,9999,9999
5,0507,11,2011,14,10,2011,5,0501,999,999,9,9,320,320,9,9,9999,9999
21,2102,7,2011,8,6,2011,21,2101,999,999,9,9,320,320,9,9,9999,9999
3,0308,5,2011,17,3,2011,3,0301,999,999,9,9,320,320,9,9,9999,9999
3,0308,12,2011,7,11,2011,3,0301,999,999,9,9,320,320,9,9,9999,9999
19,1901,4,2011,18,1,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
19,1901,8,2011,20,6,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
19,1901,8,2011,25,7,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
19,1901,12,2011,12,8,2011,19,1901,999,999,9,9,320,320,9,9,9999,9999
21,2101,1,2012,24,11,2011,21,2101,999,999,9,9,320,320,9,9,9999,9999
22,2203,12,2011,31,10,2011,22,2201,999,999,9,9,320,320,9,9,9999,9999
4,0401,7,2011,25,5,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
4,0401,7,2011,26,5,2011,4,0401,999,999,9,9,320,320,9,9,9999,9999
4,0401,9,2011,11,8,2011,1,0101,999,999,9,9,320,320,9,9,9999,9999
4,0401,10,2011,13,7,2011,4,0401,999,999,9,9,320,320,9,9,9999,9999
9,0919,2,2012,24,11,2011,9,0901,999,999,9,9,320,320,9,9,9999,9999
15,1504,1,2012,7,10,2011,15,1501,999,999,9,9,320,320,9,9,9999,9999
15,1504,11,2011,7,10,2011,15,1501,999,999,9,9,320,320,9,9,9999,9999
19,1902,4,2011,8,2,2011,19,1902,999,999,9,9,320,320,9,9,9999,9999
1,0102,8,2011,5,4,2011,1,0102,999,999,9,9,320,320,9,9,9999,9999
5,0507,7,2011,3,3,2011,5,0502,999,999,9,9,320,320,9,9,9999,9999
21,2102,6,2011,1,6,2011,21,2102,999,999,9,9,320,320,9,9,9999,9999
17,1703,9,2011,16,9,2011,17,1703,999,999,9,9,320,320,9,9,9999,9999
12,1206,2,2012,28,7,2011,12,1206,999,999,9,9,320,320,9,9,9999,9999
11,1101,1,2012,10,10,2011,1,0108,999,999,9,9,320,320,9,9,9999,9999
17,1708,4,2011,1,2,2011,17,1712,999,999,9,9,320,320,9,9,9999,9999
5,0506,12,2011,13,10,2011,1,0115,999,999,9,9,320,320,9,9,9999,9999
18,1803,6,2011,15,3,2011,1,0115,999,999,9,9,320,320,9,9,9999,9999
12,1216,9,2011,23,8,2011,12,1215,999,999,9,9,320,320,9,9,9999,9999
12,1215,5,2011,24,3,2011,12,1215,999,999,9,9,320,320,9,9,9999,9999
12,1215,6,2011,27,4,2011,12,1215,999,999,9,9,320,320,9,9,9999,9999
12,1215,10,2011,2,9,2011,12,1215,999,999,9,9,320,320,9,9,9999,9999
9,0919,4,2011,14,2,2011,9,0919,999,999,9,9,320,320,9,9,9999,9999
9,0919,4,2011,27,1,2011,9,0919,999,999,9,9,320,320,9,9,9999,9999
11,1101,2,2011,25,1,2011,11,1101,48,999,9,9,320,320,9,9,9999,9999
22,2201,7,2011,21,6,2011,22,2201,41,999,9,9,320,320,9,9,9999,9999
5,0506,11,2011,24,10,2011,10,1001,38,999,9,9,320,320,9,9,9999,9999
22,2206,12,2011,27,10,2011,22,2201,35,999,9,9,320,320,9,9,9999,9999
15,1503,9,2011,13,7,2011,15,1501,32,999,9,9,320,320,9,9,9999,9999
1,0108,3,2011,10,2,2011,1,0101,25,999,9,9,320,320,9,9,9999,9999
1,0101,2,2012,15,11,2011,1,0115,66,61,9,9,320,320,9,9,9999,9999
9,0901,7,2011,15,6,2011,9,0901,60,50,9,9,320,320,9,9,9999,9999
11,1101,1,2012,11,7,2011,11,1101,999,45,9,9,320,320,9,9,9999,9999
1,0101,11,2011,4,8,2011,1,0101,46,44,9,9,320,320,9,9,9999,9999
16,1601,5,2012,26,9,2011,16,1601,999,41,9,9,320,320,9,9,9999,9999
