ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GRUPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD,LEY_APLICABLE
2011,1,10,101,1,2,21,1,1,0,1,33,2,6,1,2, ,1,2, ,1,99,99,99,99,99,7,1,2011,116,1,2122,2, ,1,31,1,46,2,6,1,1,7137, ,4,1,1
2011,1,11,101,1,2,29,5,2,3,1,46,1,6,1,1,5132, ,2, ,2,99,99,99,99,99,10,1,2011,101,1,1122,2, ,1,32,1,33,1,6,1,1,7124, ,4,1,1
2011,1,13,101,1,2,59,0,0,0,1,59,1,6,1,1,2221, ,2, ,10,99,99,99,99,99,11,1,2011,101,1,2122,2, ,1,62,1,46,2,6,1,1,5220, ,4,1,1
2011,1,13,101,1,2,43,1,0,1,1,26,1,6,1,1,5220, ,2, ,2,99,99,99,99,99,12,1,2011,101,1,1122,2, ,1,21,1,26,1,6,1,1,9112, ,4,1,1
2011,1,13,101,1,2,35,99,99,99,1,26,1,6,1,1,5220, ,2, ,9,99,99,99,99,99,11,1,2011,101,1,2122,2, ,2,39,1,26,3,6,2,2, ,1,4,1,1
2011,1,14,101,1,1,30,0,0,0,1,23,1,6,1,1,9211, ,2, ,3,99,99,99,99,99,12,1,2010,105,1,2122,2, ,2,30,1,24,1,6,1,1,9112, ,4,1,1
2011,1,14,101,1,2,37,4,2,2,1,25,3,1,1,1,9131, ,9, ,2,4,2,2,0,0,13,1,2010,101,1,2122,1,4,1,42,1,26,3,1,1,1,7122, ,4,1,1
2011,1,3,101,1,2,28,2,1,1,1,45,2,1,1,2, ,1,2, ,1,1,0,0,0,1,30,12,2010,101,1,2122,2, ,1,31,1,26,2,1,1,2, ,9,4,9,9
2011,1,3,101,1,2,30,1,1,0,1,21,1,1,1,1,5220, ,2, ,3,1,0,0,1,0,2,1,2011,116,1,2122,2, ,1,31,1,22,1,1,1,1,7137, ,4,1,1
2011,1,3,101,1,2,39,5,3,2,1,26,2,1,1,1,9112, ,2, ,1,5,0,0,3,2,20,12,2010,101,1,1122,2, ,1,38,1,26,2,1,1,1,4131, ,4,1,1
