ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GURPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD
2009,4,20,2102,2,2,6, , , , , , ,6,1, , , ,2, ,10,0,0,0,0,0,19,4,2009,2102,2,2212,2, ,1,26,2,10,1,6,1,1,9211, ,4,1
2009,5,26,108,2,1,8, , , ,1,22, ,1,1,2, ,3,2, ,4,99,99,99,99,99,23,5,2009,108,1,2122,2, ,1,32,1,49,1,1,1,1,3121, ,4,1
2009,5,13,805,1,2,8, , , ,1,29, ,2,1,2, ,3,2, ,4,99,99,99,99,99,12,5,2009,805,1,2122,2, ,1,28,1,29,4,2,1,1,5220, ,4,1
2009,5,20,1101,2,1,3, , , , , , ,1,1, , , ,9, ,4,0,0,0,0,0,15,5,2009,205,2,1122,2, ,2,16,2,10,1,1,1,1,5123, ,4,1
2009,5,22,1101,2,2,2, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,1,5,2009,1101,1,1122,2, ,1,22,1,25,1,1,1,1,9333, ,4,1
2009,5,13,1201,1,1,8, , , ,1,22, ,1,1,2, ,3,2, ,4,0,0,0,0,0,11,5,2009,1201,1,1122,2, ,1,30,1,26,2,1,1,1,8322, ,4,2
2009,5,24,1901,2,1,5, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,24,5,2009,1901,1,1122,2, ,2,21,1,26,1,1,1,2, ,1,3, 
2009,5,18,1001,1,1,9, , , ,1,10, ,6,1,2, ,3,2, ,4,2,0,0,2,0,15,5,2009,1004,1,1122,2, ,2,29,1,39,3,1,1,2, ,1,6, 
2009,5,19,1001,2,1,3, , , , , , ,6,1, , , ,2, ,4,0,0,0,0,0,15,5,2009,1002,1,1122,2, ,2,22,1,29,1,2,1,2, ,1,6, 
2009,6,16,201,2,1,8, , , ,1,22, ,1,1,2, ,3,2, ,4,0,0,0,0,0,15,6,2009,203,1,1122,2, ,2,25,1,33,1,1,1,2, ,1,4,1
2009,6,29,501,2,1,7, , , ,2,10, ,1,1,2, ,6,2, ,4,2,0,0,0,2,27,6,2009,501,1,2122,2, ,2,25,1,39,3,1,1,1,8263, ,6, 
2009,6,11,2001,1,2,10, , , ,1,23, ,1,1,2, ,3,2, ,9,99,99,99,99,99,11,6,2009,2001,1,1122,2, ,2,18,1,49,1,1,1,2, ,1,4,1
2009,6,8,1007,2,1,3, , , , , , ,2,1, , , ,2, ,4,0,0,0,0,0,8,6,2009,1007,2,1122,2, ,2,22,1,26,3,2,1,2, ,1,4,1
2009,6,5,1001,2,1,3, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,2,6,2009,1007,1,1122,2, ,2,32,2,10,1,6,1,2, ,1,6, 
2009,6,17,1001,3,2,9, , , ,1,29, ,1,1,2, ,3,2, ,4,0,0,0,0,0,16,6,2009,1001,1,2122,2, ,2,34,1,49,1,1,1,2, ,2,6, 
2009,6,9,1712,3,1,7, , , ,1,21, ,1,1,2, ,3,2, ,4,1,0,0,1,0,8,6,2009,1712,1,1222,2, ,1,30,1,46,3,1,1,1,1314, ,6, 
2009,7,21,101,1,2,7, , , ,2,10, ,2,1,2, ,9,2, ,5,99,99,99,99,99,12,7,2009,101,1,1222,2, ,2,24,2,10,3,2,1,1,9112, ,5, 
2009,7,1,1601,2,1,10, , , ,1,26, ,1,2,1,9111, ,2, ,4,1,0,1,0,0,30,6,2009,1601,9,1122,2, ,1,99,9,99,2,2,1,1,9112, ,6, 
2009,7,14,1804,2,1,3, , , , , , ,1,1, , , ,2, ,10,99,99,99,99,99,11,7,2009,1804,2,2221,2, ,1,14,1,23,1,1,1,2, ,3,3, 
2009,8,11,404,2,2,8, , , ,1,21, ,2,1,2, ,3,2, ,4,99,99,99,99,99,5,8,2009,404,1,1122,2, ,1,41,1,22,2,2,1,1,9211, ,4,2
2009,8,28,404,1,2,8, , , ,1,29, ,2,1,2, ,3,2, ,4,99,99,99,99,99,28,8,2009,404,1,1122,2, ,2,38,1,29,1,2,1,2, ,1,3, 
2009,8,5,609,2,2,9, , , ,1,10, ,1,1,1,9999, ,2, ,4,99,99,99,99,99,5,8,2009,609,2,1122,2, ,2,30,1,24,2,6,1,2, ,9,3, 
2009,8,4,709,2,1,6, , , , , , ,2,1, , , ,2, ,4,0,0,0,0,0,3,8,2009,709,9,2122,2, ,1,33,1,29,3,2,1,1,5123, ,4,1
2009,8,16,1008,2,2,1, , , , , , ,2,1, , , ,2, ,4,0,0,0,0,0,16,8,2009,1008,2,1222,1,3,2,19,2,10,3,2,1,1,9131, ,3, 
2009,8,17,1001,2,1,7, , , ,1,29, ,1,1,2, ,3,2, ,4,0,0,0,0,0,15,8,2009,1010,1,1122,2, ,2,25,1,39,1,1,1,2, ,1,6, 
2009,8,25,1001,2,2,2, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,20,8,2009,1001,1,1122,2, ,2,26,1,39,1,6,1,2, ,1,6, 
2009,8,28,1101,1,1,10, , , ,1,22, ,1,1,2, ,3,2, ,4,0,0,0,0,0,21,8,2009,1101,1,1122,2, ,1,45,1,21,1,1,1,1,9211, ,6, 
2009,8,3,1201,2,1,2, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,5,7,2009,1201,1,1222,2, ,2,31,1,46,2,1,1,2, ,1,1, 
2009,8,30,1415,2,2,11, , , ,1,25, ,2,1,2, ,3,2, ,4,99,99,99,99,99,16,8,2009,1415,1,1222,2, ,1,43,1,26,3,6,1,1,9211, ,4,1
2009,8,10,1508,2,2,6, , , , , , ,2,1, , , ,2, ,4,1,0,1,0,0,1,8,2009,1508,1,1122,2, ,1,28,1,29,1,2,1,1,9211, ,4,1
2009,8,12,1804,2,1,1, , , , , , ,1,1, , , ,2, ,4,99,99,99,99,99,10,8,2009,1804,2,1222,2, ,2,99,9,99,9,1,1,2, ,1,3, 
2009,8,26,2102,2,1,1, , , , , , ,6,1, , , ,2, ,7,0,0,0,0,0,22,8,2009,2102,2,1222,1,3,1,40,2,10,2,6,1,1,9211, ,4,1
2009,9,21,201,2,2,4, , , , , , ,1,1, , , ,2, ,10,0,0,0,0,0,21,9,2009,207,2,1122,1,6,2,45,1,24,2,1,1,2, ,1,4,1
2009,9,30,205,2,2,3, , , , , , ,1,1, , , ,2, ,10,0,0,0,0,0,29,9,2009,205,2,1222,2, ,2,25,1,26,1,1,9,2, ,1,3, 
2009,9,4,404,3,2,1, , , , , , ,2,1, , , ,9, ,4,1,1,0,0,0,4,9,2009,404,1,1122,9, ,2,99,1,49,9,2,1,9, , ,3, 
2009,9,2,501,2,1,5, , , , , , ,1,1, , , ,2, ,4,99,99,99,99,99,1,9,2009,501,1,1222,2, ,1,42,1,49,2,1,1,1,9211, ,6, 
2009,9,7,501,2,2,9, , , ,1,29, ,1,1,2, ,3,2, ,4,99,99,99,99,99,4,9,2009,505,2,1222,2, ,1,36,1,39,3,1,1,1,9998, ,6, 
2009,9,30,713,2,2,6, , , , , , ,2,1, , , ,2, ,4,2,0,0,1,1,30,9,2009,713,1,1122,2, ,2,99,1,99,2,2,1,2, ,1,3, 
2009,9,2,901,2,2,7, , , ,1,21, ,9,1,2, ,3,9, ,4,0,0,0,0,0,2,9,2009,901,9,1122,2, ,2,37,1,49,2,1,9,1,3432, ,4,2
2009,9,1,1006,2,2,8, , , ,1,23, ,1,1,2, ,3,2, ,4,1,0,0,1,0,22,8,2009,1006,1,2122,2, ,2,26,1,25,2,1,1,2, ,1,4,1
2009,9,1,1006,2,1,3, , , , , , ,1,1, , , ,2, ,4,1,0,0,0,1,22,8,2009,1006,1,2122,2, ,2,26,1,25,2,1,1,2, ,1,4,1
2009,9,12,1001,1,2,11, , , ,1,29, ,1,1,2, ,1,2, ,4,0,0,0,0,0,12,9,2009,1001,1,1222,2, ,1,26,1,49,1,1,1,1,9211, ,4,1
2009,9,23,1601,2,2,6, , , , , , ,2,1, , , ,2, ,4,0,0,0,0,0,23,9,2009,1601,1,2122,1,9,2,21,1,99,3,2,1,2, ,1,6, 
2009,9,8,2003,2,2,10, , , ,1,22, ,1,1,2, ,3,2, ,10,0,0,0,0,0,7,9,2009,2003,2,1122,2, ,1,30,1,29,2,1,1,1,9211, ,4,1
2009,10,20,104,2,2,11, , , ,9,99, ,1,1,2, ,9,2, ,4,0,0,0,0,0,20,10,2009,104,2,2122,2, ,1,99,9,99,9,1,1,9, , ,3, 
2009,10,28,701,3,2,8, , , ,2,10, ,1,1,2, ,1,2, ,4,4,0,2,0,2,28,10,2009,710,1,1122,2, ,2,32,2,10,1,1,1,2, ,1,6, 
2009,10,3,715,2,1,2, , , , , , ,2,1, , , ,2, ,9,2,0,1,1,0,2,10,2009,715,9,1122,2, ,1,34,2,10,2,2,1,1,9211, ,3, 
2009,10,22,1101,3,2,5, , , , , , ,2,1, , , ,2, ,4,1,0,1,0,0,5,10,2009,1103,2,2121,2, ,2,30,1,21,2,2,1,2, ,1,6, 
2009,10,27,1101,2,1,9, , , ,1,22, ,1,1,2, ,3,2, ,4,0,0,0,0,0,15,10,2009,1102,2,1121,2, ,2,28,1,26,1,1,1,2, ,1,6, 
2009,11,9,115,2,1,4, , , , , , ,9,1, , , ,9, ,4,1,0,1,0,0,8,11,2009,115,9,2212,2, ,1,45,1,59,9,1,9,1,9999, ,1, 
2009,11,23,115,2,2,3, , , , , , ,1,1, , , ,2, ,10,0,0,0,0,0,21,11,2009,115,1,2212,2, ,1,99,9,99,3,1,1,9, , ,1, 
2009,11,12,501,1,2,11, , , ,2,10, ,1,1,2, ,1,2, ,4,0,0,0,0,0,12,11,2009,504,2,1122,2, ,2,35,2,10,3,1,1,2, ,1,3, 
2009,11,5,1001,3,2,10, , , ,1,29, ,1,1,2, ,3,2, ,4,1,0,0,0,1,5,11,2009,1001,1,1122,2, ,1,25,1,39,2,6,1,1,9141, ,6, 
