DEPARTAMENTO,ANIO,EDAD_HOMBRE,EDAD_MUJER,ESCOLARIDAD_HOMBRE,ESCOLARIDAD_MUJER,TOTAL_DIVORCIOS,EDAD_VICTIMA,EDAD_AGRESOR,ESCOLARIDAD_VICTIMA,ESCOLARIDAD_AGRESOR,OCUPACION_VICTIMA,OCUPACION_AGRESOR,TIPO_MEDIDA_MAS_FREC,INST_DENUNCIA,TOTAL_VIF
21,2016,31.714285714285715,28.25,1.0,1.0,64,32.4593220338983,34.29491525423729,10.0,10.0,6111.0,6111.0,IJ,4,590
21,2017,,,,,0,33.0214899713467,37.43553008595988,10.0,10.0,6111.0,6111.0,IJ,4,698
21,2018,,,,,0,33.29222011385199,35.93738140417457,10.0,10.0,6111.0,6111.0,IJ,4,527
22,2009,,,,,0,35.62241887905605,41.26253687315634,10.0,10.0,9211.0,9211.0,,4,678
22,2010,34.71875,30.57894736842105,,,134,34.819322459222086,45.765370138017566,10.0,29.0,5220.0,9211.0,,3,797
22,2011,34.85333333333333,30.209876543209877,,,204,33.82525252525252,44.44949494949495,10.0,29.0,6111.0,6111.0,AIJ,4,990
22,2012,35.796491228070174,31.959044368600683,1.0,1.0,692,35.33624454148472,45.65676855895197,29.0,29.0,9111.0,6111.0,,4,1145
22,2013,34.63636363636363,32.53846153846154,4.0,4.0,153,36.34417808219178,46.41095890410959,29.0,29.0,9111.0,6111.0,IJ,4,1168
22,2014,,,,,0,35.89969372128637,44.03981623277182,29.0,29.0,9111.0,6111.0,IJ,4,1306
22,2015,34.21138211382114,30.71212121212121,4.0,4.0,932,36.211976047904194,41.47305389221557,29.0,29.0,9111.0,6111.0,IJ,4,835
22,2016,38.166666666666664,32.34615384615385,2.0,4.0,204,37.267701260911736,45.34917555771096,29.0,29.0,6111.0,6111.0,IJ,4,1031
22,2017,,,,,0,37.36106032906764,44.23034734917733,29.0,29.0,6111.0,6111.0,IJ,4,1094
22,2018,,,,,0,36.790660225442835,44.409017713365536,29.0,29.0,9111.0,6111.0,IJ,4,1242
99,2009,,,,,0,40.32258064516129,51.25806451612903,10.0,29.0,9131.0,9211.0,,4,31
99,2010,,,,,0,33.6,45.168,29.0,29.0,9112.0,9211.0,,3,125
99,2011,,,,,0,39.2710843373494,43.74096385542169,29.0,29.0,5220.0,6111.0,,4,166
99,2012,,,,,0,36.62809917355372,49.53719008264463,49.0,29.0,9111.0,9211.0,IJ,4,121
99,2013,,,,,0,34.82954545454545,39.90340909090909,10.0,26.0,5249.0,9211.0,,3,176
99,2014,,,,,0,38.46031746031746,49.17460317460318,10.0,29.0,5249.0,6111.0,IJ,3,63
99,2015,,,,,0,35.28,40.76,10.0,23.0,2341.0,6111.0,IJ,3,25
99,2016,,,,,0,44.30952380952381,53.5,49.0,29.0,5249.0,6111.0,IJ,3,42
99,2017,,,,,0,36.84,47.52,29.0,49.0,2132.0,6111.0,IJ,3,25
99,2018,,,,,0,38.78947368421053,51.36842105263158,29.0,29.0,3322.0,7112.0,IJ,3,19
