DEPARTAMENTO,ANIO,EDAD_HOMBRE,EDAD_MUJER,ESCOLARIDAD_HOMBRE,ESCOLARIDAD_MUJER,TOTAL_DIVORCIOS,EDAD_VICTIMA,EDAD_AGRESOR,ESCOLARIDAD_VICTIMA,ESCOLARIDAD_AGRESOR,OCUPACION_VICTIMA,OCUPACION_AGRESOR,TIPO_MEDIDA_MAS_FREC,INST_DENUNCIA,TOTAL_VIF
5,2016,31.84375,29.1875,4.0,4.0,328,29.976271186440677,34.891525423728815,29.0,29.0,5249.0,9211.0,IJ,3,295
5,2017,,,,,0,30.663129973474803,36.737400530503976,29.0,29.0,5249.0,6111.0,IJ,3,377
5,2018,,,,,0,30.813308687615528,38.874306839186694,29.0,29.0,5249.0,6111.0,IJ,3,541
6,2009,,,,,0,31.272108843537413,34.83673469387755,10.0,26.0,9131.0,9211.0,AFGIJ,3,1029
6,2010,32.92857142857143,27.153846153846153,,,61,31.563424947145876,34.372093023255815,26.0,26.0,9131.0,9211.0,,4,946
6,2011,35.96153846153846,33.7,,,87,32.01740139211137,35.55452436194896,26.0,26.0,9131.0,9211.0,ACIJ,4,862
6,2012,33.77319587628866,31.642105263157895,1.0,1.0,284,31.959925442684064,34.96178937558248,26.0,26.0,9111.0,6111.0,FGIJ,4,1073
6,2013,29.5,29.333333333333332,1.0,1.0,45,32.165742024965326,35.13522884882108,26.0,26.0,9111.0,6111.0,Z,4,1442
6,2014,,,,,0,31.46442234123948,34.534812547819435,26.0,26.0,9111.0,6111.0,IJ,4,1307
6,2015,37.293103448275865,32.054545454545455,2.0,4.0,560,31.917894736842104,33.41263157894737,26.0,26.0,9111.0,6111.0,IJ,3,950
6,2016,33.916666666666664,31.84,4.0,2.0,188,31.344422700587085,33.15264187866928,26.0,26.0,9111.0,6111.0,IJ,4,1022
6,2017,,,,,0,33.338248847926266,34.321658986175116,26.0,26.0,9111.0,6111.0,IJ,4,1085
6,2018,,,,,0,33.36138613861386,34.5,26.0,26.0,9111.0,6111.0,IJ,4,1212
7,2009,,,,,0,33.62846803377563,39.15922798552473,10.0,10.0,9211.0,9211.0,,4,829
7,2010,36.30769230769231,33.357142857142854,,,30,31.998992950654582,34.63846928499496,10.0,10.0,9211.0,9211.0,,4,993
7,2011,36.05882352941177,29.352941176470587,,,45,32.98196166854566,35.4847801578354,10.0,10.0,3310.0,9211.0,,4,887
7,2012,34.82,32.91228070175438,1.0,1.0,111,32.9845031905196,36.0154968094804,10.0,10.0,5249.0,9211.0,IJ,4,1097
7,2013,30.5,29.833333333333332,1.0,2.0,45,34.36261682242991,35.762616822429905,10.0,10.0,9211.0,9211.0,IJ,4,1070
7,2014,,,,,0,33.54759467758444,35.49539406345957,10.0,10.0,5249.0,9211.0,IJ,4,977
7,2015,33.0,29.842105263157894,2.0,1.0,160,34.7688679245283,35.540880503144656,10.0,10.0,9211.0,9211.0,IJ,4,636
7,2016,30.88888888888889,26.9,2.0,2.0,76,34.69669117647059,36.20404411764706,10.0,10.0,9211.0,9211.0,IJ,4,544
7,2017,,,,,0,34.644160583941606,35.37408759124087,10.0,10.0,9211.0,9211.0,IJ,4,548
7,2018,,,,,0,35.09791666666667,36.8625,10.0,10.0,9211.0,9211.0,IJ,4,480
8,2009,,,,,0,32.74702380952381,39.0,10.0,29.0,5220.0,5220.0,,4,672
8,2010,32.36842105263158,30.272727272727273,,,37,31.864035087719298,35.09356725146199,10.0,29.0,5220.0,5220.0,,3,684
8,2011,30.391304347826086,26.272727272727273,,,65,32.54397394136808,33.89413680781759,10.0,10.0,5220.0,5220.0,,3,614
8,2012,33.3625,29.725274725274726,1.0,1.0,200,30.987676056338028,33.45070422535211,10.0,29.0,5249.0,5249.0,,3,568
8,2013,33.75,27.25,1.0,1.0,30,32.01610017889087,33.772808586762075,10.0,29.0,5249.0,5249.0,IJ,3,559
8,2014,,,,,0,31.897476340694006,34.217665615141954,10.0,10.0,5249.0,5249.0,IJ,3,634
8,2015,33.21212121212121,30.8125,1.0,1.0,300,33.602739726027394,34.37769080234834,10.0,10.0,5249.0,5249.0,IJ,3,511
8,2016,32.07692307692308,33.0,1.0,1.0,84,34.413223140495866,38.06818181818182,26.0,26.0,5249.0,5249.0,IJ,3,484
8,2017,,,,,0,33.96017699115044,36.92920353982301,10.0,29.0,5249.0,5249.0,IJ,3,452
8,2018,,,,,0,34.90765171503958,39.266490765171504,10.0,29.0,5249.0,5249.0,IJ,3,379
9,2009,,,,,0,33.38112391930836,43.112391930835734,29.0,29.0,5220.0,9211.0,,4,1388
9,2010,36.285714285714285,32.857142857142854,,,172,33.42439024390244,44.10670731707317,29.0,29.0,5220.0,9211.0,IJ,4,1640
9,2011,36.24752475247525,32.97959183673469,,,283,34.287421383647796,42.242138364779876,29.0,29.0,5220.0,9211.0,I,4,1590
9,2012,35.78466076696165,31.9375,1.0,1.0,785,33.383768115942026,40.01913043478261,29.0,29.0,5249.0,6111.0,ABIJ,4,1725
9,2013,36.975,34.69230769230769,1.0,4.0,252,33.15513009327442,39.334806087383406,29.0,29.0,5249.0,6111.0,Z,4,2037
9,2014,,,,,0,32.06646884272997,34.23323442136498,29.0,29.0,5249.0,6111.0,IJ,4,1685
9,2015,36.57058823529412,33.95882352941177,4.0,4.0,1200,32.27380281690141,36.35267605633803,29.0,29.0,5249.0,6111.0,IJ,3,1775
9,2016,37.16129032258065,32.66153846153846,4.0,1.0,436,31.922340425531914,35.02925531914894,29.0,29.0,5249.0,5249.0,IJ,4,1880
9,2017,,,,,0,33.26233941852603,35.75997295469912,29.0,29.0,5249.0,5249.0,IJ,4,1479
9,2018,,,,,0,32.630718954248366,38.372549019607845,29.0,29.0,5249.0,6111.0,IJ,4,1530
10,2009,,,,,0,31.43090909090909,35.75272727272727,29.0,29.0,5220.0,9211.0,,3,1650
10,2010,32.166666666666664,27.625,,,118,32.23491879350348,38.4530162412993,10.0,29.0,9131.0,9211.0,,3,1724
10,2011,38.22857142857143,30.612903225806452,,,162,32.64152892561984,37.26962809917355,10.0,29.0,5220.0,9211.0,,3,1936
10,2012,36.22289156626506,32.664556962025316,1.0,1.0,563,32.69515418502203,39.30352422907489,10.0,29.0,9111.0,9211.0,,4,2270
10,2013,37.38461538461539,33.57142857142857,1.0,1.0,123,32.31013431013431,43.5050875050875,10.0,29.0,9111.0,9211.0,IJ,4,2457
10,2014,,,,,0,32.68496993987976,35.684168336673345,10.0,29.0,5249.0,9211.0,IJ,3,2495
10,2015,32.7962962962963,28.30188679245283,4.0,4.0,508,32.47926059513075,33.74030658250676,10.0,29.0,5249.0,9211.0,IJ,3,2218
10,2016,29.5625,28.0,4.0,4.0,144,33.58552925413131,37.873157659669495,29.0,29.0,5249.0,9211.0,IJ,3,2239
10,2017,,,,,0,34.44076999012833,37.170779861796646,29.0,29.0,5249.0,9211.0,IJ,4,2026
10,2018,,,,,0,34.10014800197336,39.397138628515044,29.0,29.0,5249.0,9211.0,IJ,4,2027
11,2009,,,,,0,31.627118644067796,33.66190900981267,26.0,26.0,5220.0,9211.0,,4,1121
11,2010,34.851851851851855,30.363636363636363,,,93,30.696763202725723,33.999148211243615,26.0,26.0,5220.0,9211.0,,4,1174
11,2011,37.973684210526315,34.07142857142857,,,122,31.993655828707375,34.279143536875495,26.0,26.0,5220.0,9211.0,,4,1261
11,2012,34.99337748344371,30.413793103448278,1.0,1.0,362,30.699041533546325,33.53099041533547,26.0,26.0,5249.0,9211.0,,4,1565
11,2013,34.6,32.81818181818182,1.0,1.0,117,31.691611345805672,33.464091732045866,26.0,26.0,2341.0,6111.0,IJ,4,1657
11,2014,,,,,0,30.657517899761338,33.80131264916468,26.0,26.0,5249.0,6111.0,IJ,4,1676
11,2015,32.2,29.607142857142858,4.0,4.0,464,31.48339973439575,34.00464807436919,26.0,26.0,5249.0,6111.0,IJ,4,1506
11,2016,33.09090909090909,27.391304347826086,1.0,1.0,148,31.016499705362403,33.98114319387154,26.0,26.0,5249.0,6111.0,IJ,4,1697
11,2017,,,,,0,29.82878081279147,33.57694870086609,26.0,26.0,5249.0,9211.0,IJ,3,1501
11,2018,,,,,0,30.126269956458636,33.367198838896954,26.0,26.0,5249.0,9211.0,IJ,3,1378
12,2009,,,,,0,33.55192588980985,37.018527547537786,10.0,10.0,9211.0,9211.0,,4,2051
12,2010,37.51724137931034,31.6,,,78,32.91602008215427,35.69876768598813,10.0,29.0,3310.0,9211.0,AIJ,4,2191
12,2011,37.0,32.56410256410256,,,113,33.86804942630185,36.54721977052074,10.0,29.0,5220.0,6111.0,,4,2266
12,2012,36.39823008849557,31.93859649122807,1.0,2.0,310,33.66455460305628,34.86395825568393,10.0,29.0,5249.0,6111.0,AIJ,4,2683
12,2013,38.0,33.25,2.0,2.0,87,33.624037639007696,35.08639863130881,10.0,29.0,2341.0,6111.0,IJ,4,2338
12,2014,,,,,0,33.67651130595293,35.42501153668666,10.0,29.0,5249.0,6111.0,IJ,4,2167
12,2015,35.72527472527472,32.252747252747255,4.0,2.0,784,34.96055916125811,37.473789316025965,10.0,10.0,6111.0,6111.0,IJ,4,2003
12,2016,33.6551724137931,30.357142857142858,4.0,2.0,176,34.52918097106425,39.574301128003924,10.0,10.0,5249.0,6111.0,IJ,4,2039
12,2017,,,,,0,34.54065934065934,39.536263736263734,10.0,10.0,5249.0,6111.0,IJ,4,1820
